Category,Volumetric Flow,Pressure Ratio
SL,182,132
SL,186.48,138.118
SL,216,165.826
SL,240,185
SL,300,205
,,
SCL,183,113
SCL,205.92,138.118
SCL,249,181
SCL,350,181
,,
IGV-4,180,132
IGV-4,180.0001,132.0001
IGV-4,180.0002,132.0002
IGV-4,182.999,128.973
IGV-4,183.412,126.532
IGV-4,183.825,118.432
IGV-4,184.238,97.668
,,
IGV-3,216,165
IGV-3,218.0001,165.0001
IGV-3,218.0002,165.0002
IGV-3,218.0003,165.0003
IGV-3,221.998,154.655
IGV-3,225.998,123.172
IGV-3,227.34,90.254
IGV-3,227.451,84.103
IGV-3,227.563,75.317
IGV-3,227.614,59.246
,,
IGV-2,237,182
IGV-2,240.0001,180.0001
IGV-2,240.0002,180.0002
IGV-2,240.998,179.507
IGV-2,247.998,173.79
IGV-2,254.998,163.58
IGV-2,261.998,146.14
IGV-2,265.498,124.078
IGV-2,267.248,91.572
IGV-2,267.394,85.969
IGV-2,267.54,78.708
IGV-2,267.686,69.083
,,
IGV-1,255,190
IGV-1,255.0001,190.0001
IGV-1,255.0002,190.0002
IGV-1,255.0003,190.0003
IGV-1,262.998,188.322
IGV-1,270.998,184.36
IGV-1,278.998,177.578
IGV-1,286.998,167.72
IGV-1,294.998,147.054
IGV-1,296.201,140.362
IGV-1,297.403,132.325
IGV-1,298.606,87.512
,,
IGV-0,275,196.5
IGV-0,275.0001,196.5001
IGV-0,275.0003,196.5003
IGV-0,279.998,196.0004
IGV-0,289.998,193.287
IGV-0,299.998,188.811
IGV-0,309.998,182.414
IGV-0,319.997,171.179
IGV-0,329.997,139.104
IGV-0,330.807,131.919
IGV-0,331.616,122.782
IGV-0,332.425,107.917
,,
IGV-n1,285,200
IGV-n1,285.0001,200.0001
IGV-n1,285.0002,200.0002
IGV-n1,289.998,200.749
IGV-n1,299.998,197.844
IGV-n1,309.998,193.747
IGV-n1,319.997,187.791
IGV-n1,329.997,179.192
IGV-n1,339.997,163.348
IGV-n1,344.997,145.905
IGV-n1,347.497,126.966
IGV-n1,347.914,122.031
IGV-n1,348.33,115.754
IGV-n1,348.747,107.367
,,
IGV-n2,300,205
IGV-n2,300.0001,205.0001
IGV-n2,300.0002,205.0002
IGV-n2,300.0003,205.0003
IGV-n2,309.998,203.409
IGV-n2,319.998,199.773
IGV-n2,329.997,194.754
IGV-n2,339.997,188.194
IGV-n2,349.997,176.844
IGV-n2,359.997,141.243
IGV-n2,361.247,130.193
IGV-n2,361.455,120.929
IGV-n2,361.664,127.415
IGV-n2,361.872,124.377
